"","LY_2dpa_rep1","LY_2dpa_rep2","LY_2dpa_rep3","median_LY_2dpa"
"PladumEVm001122",15.188,12.337,9.144,12.337
"PladumEVm001124",6.654,7.028,4.408,6.654
"PladumEVm001126",13,14.259,15.277,14.259
"PladumEVm001129",70.46,59.419,47.27,59.419
"PladumEVm001130",8.113,11.813,16.927,11.813
"PladumEVm001131",16.912,19.876,15.035,16.912
"PladumEVm001132",8.653,10.359,9.072,9.072
"PladumEVm001135",12.819,9.803,8.55,9.803
"PladumEVm001142",19.62,17.888,11.867,17.888
"PladumEVm001143",5.913,6.534,2.658,5.913
"PladumEVm001144",7.743,6.472,4.311,6.472
"PladumEVm001148",29.972,44.753,46.083,44.753
"PladumEVm001153",8.249,10.395,6.686,8.249
"PladumEVm001155",5.649,5.585,6.808,5.649
"PladumEVm001162",6.589,6.873,5.679,6.589
"PladumEVm001163",5.721,5.908,5.25,5.721
"PladumEVm001167",31.312,35.392,43.483,35.392
"PladumEVm001169",22.542,22.696,13.786,22.542
"PladumEVm001172",7.404,6.582,5.706,6.582
"PladumEVm001179",3.957,6.569,5.059,5.059
"PladumEVm001188",12.431,13.27,9.088,12.431
"PladumEVm001190",5.339,4.781,5.197,5.197
"PladumEVm001192",0.383,7.966,6.095,6.095
"PladumEVm001193",6.039,5.757,3.623,5.757
"PladumEVm001195",7.838,11.78,9.703,9.703
"PladumEVm001196",6.55,6.353,5.707,6.353
"PladumEVm001199",5.731,6.085,5.225,5.731
"PladumEVm001200",10.309,10.393,8.19,10.309
"PladumEVm001201",19.937,20.656,16.953,19.937
"PladumEVm001202",5.844,6.285,5.524,5.844
"PladumEVm001207",15.15,12.703,10.376,12.703
"PladumEVm001211",15.476,14.954,13.339,14.954
"PladumEVm001213",23.029,21.197,22.892,22.892
"PladumEVm001215",13.746,16.787,19.109,16.787
"PladumEVm001221",42.588,46.606,33.782,42.588
"PladumEVm001222",7.694,7.938,6.328,7.694
"PladumEVm001227",7.074,9.118,7.16,7.16
"PladumEVm001230",5.884,6.91,5.318,5.884
"PladumEVm001235",39.466,38.099,38.051,38.099
"PladumEVm001236",10.588,9.589,6.712,9.589
"PladumEVm001239",11.972,12.264,16.307,12.264
"PladumEVm001241",5.838,5.015,2.745,5.015
"PladumEVm001244",7.599,8.254,6.302,7.599
"PladumEVm001245",72.081,69.254,58.927,69.254
"PladumEVm001246",9.175,9.766,10.364,9.766
"PladumEVm001247",6.216,6.158,6.401,6.216
"PladumEVm001254",23.782,23.159,21.792,23.159
