""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm083875"	-0.186886224276404	0.286290452772728	0.140377817065509	0.707905699571284	0.887477194293868
"PladumEVm017899"	0.0693834522382497	3.19509777809212	0.140370689393952	0.707912774663974	0.887477194293868
"PladumEVm001980"	0.0783623092902399	2.40119187586888	0.140364202757222	0.707919213628613	0.887477194293868
"PladumEVm000890"	-0.0669249108876282	3.1190469068824	0.140330597341146	0.707952574785841	0.887487173421926
"PladumEVm067302"	-0.109764360048719	1.17334096447398	0.140219580702831	0.708062816897258	0.887577460128128
"PladumEVm170158"	-0.152799982566686	1.51565658326482	0.140206908186117	0.708075404165869	0.887577460128128
"PladumEVm105157"	-0.158139078937953	0.0584762118584751	0.140099120407187	0.708182493085186	0.887679849533735
"PladumEVm124367"	-0.155241544898749	2.88411395931251	0.140012149546502	0.708268934297959	0.887714836400492
"PladumEVm113351"	-0.118164861364173	2.20521135179307	0.140009267644889	0.708271799172776	0.887714836400492
"PladumEVm032524"	0.108088819056747	0.778900838524632	0.139975524548287	0.708305345410164	0.887714836400492
"PladumEVm024622"	0.13018523437761	1.93028864148975	0.139966126093148	0.708314689854869	0.887714836400492
"PladumEVm045109"	-0.193561960989614	0.854085279052085	0.139920202685523	0.708360354496812	0.887714836400492
"PladumEVm132302"	0.096092835183742	4.06661861627405	0.139917692635514	0.708362850649581	0.887714836400492
"PladumEVm004250"	-0.133029017436587	1.36285218033498	0.139848990801549	0.708431182018119	0.887763076130159
"PladumEVm087680"	-0.233058324670176	0.421051933668343	0.139827900917529	0.708452162015544	0.887763076130159
"PladumEVm110132"	0.0992666108847366	1.20652817596334	0.139790847873163	0.708489026366944	0.887777430414039
"PladumEVm059964"	-0.150039720926323	1.79849769515617	0.139756279783556	0.708523423439523	0.887788692137193
"PladumEVm013638"	-0.0673646213213558	3.29776789255841	0.139683496368036	0.708595862631791	0.887804896481654
"PladumEVm121675"	-0.209814044230216	1.71733809751293	0.139672741291193	0.708606568667233	0.887804896481654
"PladumEVm029566"	-0.0908529396066998	2.09930739658643	0.13962092401782	0.70865815624721	0.887804896481654
"PladumEVm013254"	-0.108538703688131	0.64723107037765	0.139615891970511	0.708663166569795	0.887804896481654
"PladumEVm100609"	0.157648094550593	1.38742830435719	0.139611029872039	0.708668007775004	0.887804896481654
"PladumEVm026885"	0.0673617286574735	4.29597484279698	0.139565891945401	0.708712956322814	0.887804896481654
"PladumEVm002699"	-0.136128366416612	0.322234975955557	0.139564616305093	0.708714226731441	0.887804896481654
"PladumEVm003475"	-0.0763117523528772	3.38284082252514	0.139487233905087	0.708791304146365	0.887869617652727
"PladumEVm034632"	-0.130816682066642	0.255160110277834	0.139431785800648	0.708846548698485	0.887906986160555
"PladumEVm011274"	0.0954011213320598	1.15723530039169	0.139363999631754	0.7089141030278	0.887921402424774
"PladumEVm049462"	-0.349618327117958	1.65447669681647	0.139353613435507	0.708924455355254	0.887921402424774
"PladumEVm091248"	0.11511913409098	0.873973800674211	0.139320957801607	0.708957007364866	0.887921402424774
"PladumEVm024621"	0.0677494463820628	3.46878724319749	0.139318245158359	0.70895971159575	0.887921402424774
"PladumEVm064141"	0.249621921963513	0.0259247850151388	0.139252701248397	0.709025061363158	0.887971417985783
"PladumEVm060570"	0.170056292135976	3.09793971913983	0.139151263884106	0.709126232817513	0.888036456987185
"PladumEVm007696"	-0.139365141069687	0.169151905030754	0.139113949631691	0.709163459821793	0.888036456987185
"PladumEVm120929"	0.152431790287322	1.33174049903234	0.139105781403773	0.709171609709491	0.888036456987185
"PladumEVm086092"	0.158313645912178	0.870926451758579	0.139098714862195	0.70917866060438	0.888036456987185
"PladumEVm083282"	0.11884419600583	1.71980518128972	0.139045083197864	0.709232180168882	0.888071646164232
"PladumEVm090425"	-0.158778833338861	0.551170134218334	0.138985911353916	0.709291241976043	0.888113772340918
"PladumEVm047204"	-0.223890470570212	-0.523259348342285	0.138945899146191	0.709331187892421	0.888131961074119
