"","DMSO_1dpa_rep1","DMSO_1dpa_rep2","DMSO_1dpa_rep3","median_DMSO_1dpa"
"PladumEVm002118",12.8,9.113,12.943,12.8
"PladumEVm002125",18.141,10.031,16.737,16.737
"PladumEVm002130",20.953,15.885,25.434,20.953
"PladumEVm002131",14.481,17.512,15.566,15.566
"PladumEVm002137",15.56,11.757,14.575,14.575
"PladumEVm002148",44.812,29.918,45.168,44.812
"PladumEVm002151",33.868,27.767,33.208,33.208
"PladumEVm002161",37.277,36.929,36.593,36.929
"PladumEVm002163",11.628,9.004,16.297,11.628
"PladumEVm002172",131.174,122.476,135.086,131.174
"PladumEVm002183",24.596,17.346,25.106,24.596
"PladumEVm002184",22.79,22.217,24.656,22.79
"PladumEVm002185",16.272,14.071,14.861,14.861
"PladumEVm002187",27.786,21.877,26.692,26.692
"PladumEVm002191",29.536,24.123,29.84,29.536
"PladumEVm002194",34.935,23.704,25.764,25.764
"PladumEVm002199",12.307,10.33,11.632,11.632
"PladumEVm002206",11.804,9.818,14.505,11.804
"PladumEVm002229",45.701,29.206,37.746,37.746
"PladumEVm002235",18.27,12.256,20.139,18.27
"PladumEVm002238",23.928,11.515,16.676,16.676
"PladumEVm002245",11.153,8.953,14.669,11.153
"PladumEVm002253",35.376,21.161,43.792,35.376
"PladumEVm002267",14.776,10.278,16.642,14.776
"PladumEVm002278",11.557,10.903,13.672,11.557
"PladumEVm002284",22.03,23.102,26.13,23.102
"PladumEVm002288",13.874,10.266,16.717,13.874
"PladumEVm002291",9.117,12.296,10.568,10.568
"PladumEVm002297",15.445,14.441,15.776,15.445
"PladumEVm002299",13.323,15.4,14.977,14.977
"PladumEVm002326",28.694,24.615,30.624,28.694
"PladumEVm002329",144.349,107.059,166.504,144.349
"PladumEVm002332",11.265,9.628,13.117,11.265
"PladumEVm002344",12.298,7.648,11.964,11.964
"PladumEVm002345",24.268,20.298,25.991,24.268
"PladumEVm002354",30.466,22.721,29.358,29.358
"PladumEVm002356",23.684,13.779,21.022,21.022
"PladumEVm002357",17.676,12.886,19.821,17.676
"PladumEVm002360",11.817,8.147,11.926,11.817
"PladumEVm002367",11.056,6.268,12.637,11.056
"PladumEVm002369",23.018,21.829,23.833,23.018
"PladumEVm002372",35.01,21.251,25.714,25.714
"PladumEVm002379",29.635,22.443,27.521,27.521
"PladumEVm002402",35.881,27.738,35.848,35.848
"PladumEVm002404",18.271,13.102,16.958,16.958
"PladumEVm002409",23.084,25.758,25.424,25.424
"PladumEVm002415",81.385,55.7,68.304,68.304
"PladumEVm002421",18.664,10.568,17.503,17.503
"PladumEVm002429",19.531,13.755,20.066,19.531
"PladumEVm002431",22.713,18.909,24.929,22.713
"PladumEVm002433",38.935,37.868,36.174,37.868
"PladumEVm002434",15.707,14.227,17.867,15.707
"PladumEVm002435",68.403,49.294,54.513,54.513
"PladumEVm002452",27.528,21.922,27.814,27.528
"PladumEVm002492",24.52,27.742,33.582,27.742
"PladumEVm002501",199.594,204.03,228.76,204.03
"PladumEVm002510",19.079,12.874,18.341,18.341
"PladumEVm002513",13.328,15.445,15.131,15.131
"PladumEVm002517",15.168,9.907,19.447,15.168
"PladumEVm002521",18.161,14.743,20.806,18.161
"PladumEVm002533",26.396,16.622,22.658,22.658
"PladumEVm002535",10.468,8.517,12.858,10.468
"PladumEVm002538",27.557,18.009,23.598,23.598
"PladumEVm002539",13.365,9.07,15.266,13.365
"PladumEVm002541",12.771,11.895,16.22,12.771
"PladumEVm002548",8.37,10.286,14.919,10.286
"PladumEVm002557",36.544,28.759,44.532,36.544
"PladumEVm002559",30.482,33.613,38.237,33.613
"PladumEVm002566",13.958,11.436,14.596,13.958
"PladumEVm002568",14.309,13.871,11.187,13.871
"PladumEVm002571",9.935,12.035,11.27,11.27
"PladumEVm002573",14.348,16.918,21.274,16.918
"PladumEVm002584",15.823,13.319,14.14,14.14
"PladumEVm002597",32.509,25.556,30.046,30.046
"PladumEVm002602",44.163,25.203,27.537,27.537
"PladumEVm002603",15.581,14.041,17.913,15.581
"PladumEVm002604",13.083,9.311,13.395,13.083
"PladumEVm002619",8.847,11.229,10.042,10.042
"PladumEVm002635",13.639,10.664,10.67,10.67
"PladumEVm002641",13.176,9.17,15.144,13.176
"PladumEVm002642",12.886,12.248,12.603,12.603
"PladumEVm002645",19.065,18.774,24.108,19.065
"PladumEVm002651",344.118,223.669,223.128,223.669
"PladumEVm002661",62.139,52.645,72.278,62.139
"PladumEVm002678",11.694,10.479,11.161,11.161
"PladumEVm002689",48.51,43.62,49.118,48.51
"PladumEVm002697",20.922,15.29,19.049,19.049
"PladumEVm002698",45.141,32.077,43.822,43.822
"PladumEVm002708",13.782,19.695,18.861,18.861
"PladumEVm002713",59.137,47.269,56.699,56.699
"PladumEVm002719",18.471,14.796,18.418,18.418
"PladumEVm002720",26.005,18.273,27.982,26.005
"PladumEVm002725",12.492,7.663,13.068,12.492
"PladumEVm002736",13.055,8.603,10.496,10.496
"PladumEVm002737",14.758,11.332,16.349,14.758
"PladumEVm002749",25.254,29.047,26.647,26.647
"PladumEVm002752",21.115,14.558,19.526,19.526
"PladumEVm002754",39.664,30.289,33.941,33.941
"PladumEVm002756",10.96,9.964,13.572,10.96
"PladumEVm002765",36.834,25.204,31.341,31.341
"PladumEVm002772",30.834,24.028,34.425,30.834
"PladumEVm002776",45.001,34.916,43.836,43.836
"PladumEVm002780",38.074,31.297,42.39,38.074
"PladumEVm002781",164.594,135.312,191.769,164.594
"PladumEVm002783",27.851,21.901,26.282,26.282
"PladumEVm002796",109.442,91.637,112.295,109.442
"PladumEVm002799",14.732,12.15,15.85,14.732
"PladumEVm002800",65.967,52.314,82.81,65.967
"PladumEVm002812",21.739,16.707,21.756,21.739
"PladumEVm002817",28.27,31.941,32.381,31.941
"PladumEVm002818",21.702,16.385,19.926,19.926
"PladumEVm002819",15.172,12.581,14.153,14.153
"PladumEVm002828",28.858,23.27,24.565,24.565
"PladumEVm002830",58.888,45.295,49.607,49.607
"PladumEVm002833",13.662,12.608,14.45,13.662
"PladumEVm002840",13.004,9.586,12.532,12.532
"PladumEVm002852",11.926,5.571,10.499,10.499
"PladumEVm002863",14.448,9.307,12.856,12.856
"PladumEVm002876",16.817,10.794,12.255,12.255
"PladumEVm002877",11.524,7.93,10.263,10.263
